#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.15843060E+00   0.95069300E+00   0.85311140E-01  -0.28017950E-01   0.00000000E+00   0.91917970E+00   0.93854410E+00   0.93854410E+00   0.00000000E+00
  -0.15832990E+00   0.95028750E+00   0.86023380E-01  -0.28258150E-01   0.00000000E+00   0.91852640E+00   0.93803590E+00   0.93803590E+00   0.00000000E+00
  -0.15822920E+00   0.94988210E+00   0.86735500E-01  -0.28498420E-01   0.00000000E+00   0.91787350E+00   0.93752790E+00   0.93752790E+00   0.00000000E+00
  -0.15812860E+00   0.94947700E+00   0.87447490E-01  -0.28738750E-01   0.00000000E+00   0.91722110E+00   0.93702000E+00   0.93702000E+00   0.00000000E+00
  -0.15802800E+00   0.94907200E+00   0.88159350E-01  -0.28979150E-01   0.00000000E+00   0.91656910E+00   0.93651230E+00   0.93651230E+00   0.00000000E+00
  -0.15792740E+00   0.94866720E+00   0.88871090E-01  -0.29219620E-01   0.00000000E+00   0.91591760E+00   0.93600470E+00   0.93600470E+00   0.00000000E+00
  -0.15782680E+00   0.94826250E+00   0.89582700E-01  -0.29460150E-01   0.00000000E+00   0.91526660E+00   0.93549740E+00   0.93549740E+00   0.00000000E+00
  -0.15772620E+00   0.94785810E+00   0.90294190E-01  -0.29700740E-01   0.00000000E+00   0.91461600E+00   0.93499020E+00   0.93499020E+00   0.00000000E+00
  -0.15762560E+00   0.94745380E+00   0.91005550E-01  -0.29941400E-01   0.00000000E+00   0.91396590E+00   0.93448310E+00   0.93448310E+00   0.00000000E+00
  -0.15752510E+00   0.94704970E+00   0.91716790E-01  -0.30182120E-01   0.00000000E+00   0.91331630E+00   0.93397630E+00   0.93397630E+00   0.00000000E+00
  -0.15742460E+00   0.94664570E+00   0.92427900E-01  -0.30422920E-01   0.00000000E+00   0.91266710E+00   0.93346960E+00   0.93346960E+00   0.00000000E+00
  -0.15732410E+00   0.94624190E+00   0.93138890E-01  -0.30663770E-01   0.00000000E+00   0.91201840E+00   0.93296300E+00   0.93296300E+00   0.00000000E+00
  -0.15722360E+00   0.94583830E+00   0.93849750E-01  -0.30904690E-01   0.00000000E+00   0.91137010E+00   0.93245670E+00   0.93245670E+00   0.00000000E+00
  -0.15712320E+00   0.94543490E+00   0.94560480E-01  -0.31145680E-01   0.00000000E+00   0.91072230E+00   0.93195050E+00   0.93195050E+00   0.00000000E+00
  -0.15702270E+00   0.94503160E+00   0.95271090E-01  -0.31386740E-01   0.00000000E+00   0.91007500E+00   0.93144440E+00   0.93144440E+00   0.00000000E+00
  -0.15692230E+00   0.94462850E+00   0.95981570E-01  -0.31627860E-01   0.00000000E+00   0.90942810E+00   0.93093860E+00   0.93093860E+00   0.00000000E+00
  -0.15682190E+00   0.94422560E+00   0.96691930E-01  -0.31869040E-01   0.00000000E+00   0.90878170E+00   0.93043290E+00   0.93043290E+00   0.00000000E+00
  -0.15672150E+00   0.94382290E+00   0.97402170E-01  -0.32110290E-01   0.00000000E+00   0.90813570E+00   0.92992740E+00   0.92992740E+00   0.00000000E+00
  -0.15662110E+00   0.94342030E+00   0.98112280E-01  -0.32351610E-01   0.00000000E+00   0.90749020E+00   0.92942200E+00   0.92942200E+00   0.00000000E+00
  -0.15652070E+00   0.94301790E+00   0.98822260E-01  -0.32592990E-01   0.00000000E+00   0.90684520E+00   0.92891680E+00   0.92891680E+00   0.00000000E+00
  -0.15642040E+00   0.94261570E+00   0.99532120E-01  -0.32834440E-01   0.00000000E+00   0.90620060E+00   0.92841180E+00   0.92841180E+00   0.00000000E+00
  -0.15632010E+00   0.94221360E+00   0.10024180E+00  -0.33075960E-01   0.00000000E+00   0.90555650E+00   0.92790690E+00   0.92790690E+00   0.00000000E+00
  -0.15621980E+00   0.94181170E+00   0.10095150E+00  -0.33317540E-01   0.00000000E+00   0.90491280E+00   0.92740220E+00   0.92740220E+00   0.00000000E+00
  -0.15611950E+00   0.94141000E+00   0.10166090E+00  -0.33559180E-01   0.00000000E+00   0.90426960E+00   0.92689770E+00   0.92689770E+00   0.00000000E+00
  -0.15601920E+00   0.94100840E+00   0.10237030E+00  -0.33800900E-01   0.00000000E+00   0.90362690E+00   0.92639330E+00   0.92639330E+00   0.00000000E+00
  -0.15591900E+00   0.94060710E+00   0.10307950E+00  -0.34042680E-01   0.00000000E+00   0.90298460E+00   0.92588910E+00   0.92588910E+00   0.00000000E+00
  -0.15581870E+00   0.94020590E+00   0.10378860E+00  -0.34284520E-01   0.00000000E+00   0.90234270E+00   0.92538510E+00   0.92538510E+00   0.00000000E+00
  -0.15571850E+00   0.93980480E+00   0.10449760E+00  -0.34526430E-01   0.00000000E+00   0.90170140E+00   0.92488120E+00   0.92488120E+00   0.00000000E+00
  -0.15561830E+00   0.93940400E+00   0.10520650E+00  -0.34768410E-01   0.00000000E+00   0.90106040E+00   0.92437750E+00   0.92437750E+00   0.00000000E+00
